level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	830	1170	-1	
2	1	1	0	0	0	0	0	136	23	-1	
3	1	1	1	0	0	0	0	136	23	-1	
4	1	1	1	1	0	0	0	136	23	-1	
5	1	1	1	1	1	0	0	136	23	95	 
2	1	2	0	0	0	28	167	752	15	-1	
3	1	2	1	0	0	28	167	752	15	-1	
4	1	2	1	1	0	28	167	752	15	-1	
5	1	2	1	1	1	28	167	752	15	95	 
2	1	3	0	0	0	25	201	791	326	-1	
3	1	3	1	0	0	25	201	791	326	-1	
4	1	3	1	1	0	25	201	791	167	-1	
5	1	3	1	1	1	25	201	791	167	95	  
4	1	3	1	2	0	25	368	336	159	-1	
5	1	3	1	2	1	25	368	336	159	95	 
2	1	4	0	0	0	382	313	327	50	-1	
3	1	4	1	0	0	382	313	327	50	-1	
4	1	4	1	1	0	382	313	327	50	-1	
5	1	4	1	1	1	382	326	27	20	56	CU
5	1	4	1	1	2	419	332	7	11	52	1
5	1	4	1	1	3	435	315	36	48	3	いう)
5	1	4	1	1	4	471	319	12	31	17	を
5	1	4	1	1	5	491	321	28	29	41	ig
5	1	4	1	1	6	535	321	31	38	51	(6
5	1	4	1	1	7	576	326	80	23	5	dROAG9
5	1	4	1	1	8	678	313	31	40	29	=6
5	1	4	1	1	9	671	331	8	8	83	=
5	1	4	1	1	10	689	330	8	12	43	の
2	1	5	0	0	0	364	403	464	208	-1	
3	1	5	1	0	0	364	403	464	208	-1	
4	1	5	1	1	0	364	403	464	208	-1	
5	1	5	1	1	1	364	403	464	208	95	 
2	1	6	0	0	0	124	622	441	31	-1	
3	1	6	1	0	0	124	622	441	31	-1	
4	1	6	1	1	0	124	622	441	31	-1	
5	1	6	1	1	1	124	627	32	21	78	ん
5	1	6	1	1	2	159	635	4	10	86	o
5	1	6	1	1	3	176	633	5	7	50	=
5	1	6	1	1	4	202	622	166	30	58	kexr(-
5	1	6	1	1	5	305	618	43	42	0	生
5	1	6	1	1	6	347	618	32	42	17	0)
5	1	6	1	1	7	414	624	151	29	0	(系
5	1	6	1	1	8	487	618	15	42	56	%
5	1	6	1	1	9	501	618	29	42	0	宮
5	1	6	1	1	10	529	618	22	42	0	到
5	1	6	1	1	11	550	618	18	42	0	7
2	1	7	0	0	0	26	677	799	166	-1	
3	1	7	1	0	0	26	677	799	162	-1	
4	1	7	1	1	0	99	677	647	24	-1	
5	1	7	1	1	1	99	684	8	13	95	6
5	1	7	1	1	2	112	679	40	22	34	あま
5	1	7	1	1	3	151	679	37	20	0	欠
5	1	7	1	1	4	197	679	43	20	0	圭
5	1	7	1	1	5	250	677	16	22	0	及
5	1	7	1	1	6	276	682	21	16	8	WW
5	1	7	1	1	7	307	685	11	11	7	ヶ
5	1	7	1	1	8	325	683	15	18	0	う
5	1	7	1	1	9	743	691	3	2	25	-
4	1	7	1	2	0	33	696	792	15	-1	
5	1	7	1	2	1	33	704	8	1	27	に
5	1	7	1	2	2	46	704	13	1	77	ーー
5	1	7	1	2	3	72	704	19	1	64	ニーー
5	1	7	1	2	4	382	697	7	13	23	ee
5	1	7	1	2	5	417	696	9	14	1	ば
5	1	7	1	2	6	427	699	25	12	29	らき
5	1	7	1	2	7	532	705	293	5	40	ーーーーーーーーーーーーーーーーーーーーーーーー
5	1	7	1	2	8	814	695	14	24	12	一
4	1	7	1	3	0	26	699	705	41	-1	
5	1	7	1	3	1	26	731	54	2	72	ーー
5	1	7	1	3	2	158	714	26	14	44	Ag
5	1	7	1	3	3	370	699	44	40	57	ンー
5	1	7	1	3	4	413	699	24	40	69	マ
5	1	7	1	3	5	542	704	8	36	25	_-
5	1	7	1	3	6	622	735	10	1	0	還
5	1	7	1	3	7	683	736	4	1	0	還
5	1	7	1	3	8	690	736	19	1	0	還
5	1	7	1	3	9	711	736	20	1	0	較
4	1	7	1	4	0	112	735	590	38	-1	
5	1	7	1	4	1	112	750	10	14	9	内
5	1	7	1	4	2	196	750	32	23	0	選
5	1	7	1	4	3	321	736	42	15	35	いえ
5	1	7	1	4	4	359	729	12	36	42	し
5	1	7	1	4	5	374	739	13	13	57	(6
5	1	7	1	4	6	392	739	103	19	0	うーLsAe
5	1	7	1	4	7	485	729	15	36	53	つ
5	1	7	1	4	8	509	733	82	25	19	こし
5	1	7	1	4	9	611	735	29	24	55	イル
5	1	7	1	4	10	641	744	31	22	11	ルル
5	1	7	1	4	11	674	736	8	21	36	と
5	1	7	1	4	12	687	748	15	11	64	わ
4	1	7	1	5	0	230	763	496	32	-1	
5	1	7	1	5	1	192	763	63	12	4	907
5	1	7	1	5	2	395	784	8	10	39	。
5	1	7	1	5	3	518	785	9	10	8	ょ
5	1	7	1	5	4	558	769	17	15	56	を
5	1	7	1	5	5	574	757	13	35	0	o
5	1	7	1	5	6	600	772	20	13	27	ゆる
5	1	7	1	5	7	624	775	26	10	69	いっ
5	1	7	1	5	8	661	761	27	25	58	いな
5	1	7	1	5	9	692	771	34	15	35	ちゃき
4	1	7	1	6	0	116	779	684	44	-1	
5	1	7	1	6	1	116	789	9	12	58	ょ
5	1	7	1	6	2	196	791	12	10	71	い
5	1	7	1	6	3	307	779	71	43	44	Co-
5	1	7	1	6	4	394	795	16	15	0	放
5	1	7	1	6	5	425	804	1	19	0	の
5	1	7	1	6	6	439	793	17	17	43	か
5	1	7	1	6	7	459	801	10	9	23	e
5	1	7	1	6	8	475	801	11	10	84	っ
5	1	7	1	6	9	498	797	7	6	0	こそ
5	1	7	1	6	10	515	784	34	31	55	る)
5	1	7	1	6	11	597	801	14	9	38	っ
5	1	7	1	6	12	621	793	179	19	0	AmeftAuoa
5	1	7	1	6	13	757	780	18	41	75	の
5	1	7	1	6	14	774	780	28	41	60	27
4	1	7	1	7	0	318	809	272	34	-1	
5	1	7	1	7	1	318	823	12	12	52	Le
5	1	7	1	7	2	340	815	32	22	0	骨
5	1	7	1	7	3	360	811	15	33	0	こ
5	1	7	1	7	4	384	819	17	17	0	医
5	1	7	1	7	5	411	813	14	23	38	寺
5	1	7	1	7	6	435	824	8	7	17	=
5	1	7	1	7	7	456	819	8	15	47	で
5	1	7	1	7	8	471	822	30	13	44	Lt
5	1	7	1	7	9	513	809	25	34	38	0122
