level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	437	254	-1	
2	1	1	0	0	0	324	0	16	17	-1	
3	1	1	1	0	0	324	0	16	17	-1	
4	1	1	1	1	0	324	0	16	17	-1	
5	1	1	1	1	1	324	0	16	17	95	 
2	1	2	0	0	0	4	4	318	52	-1	
3	1	2	1	0	0	4	4	318	52	-1	
4	1	2	1	1	0	4	4	318	14	-1	
5	1	2	1	1	1	4	6	9	11	79	る
5	1	2	1	1	2	15	6	25	11	93	つの
5	1	2	1	1	3	44	5	14	13	44	電
5	1	2	1	1	4	60	4	13	14	0	術
5	1	2	1	1	5	77	5	11	13	0	間
5	1	2	1	1	6	91	6	12	11	93	に
5	1	2	1	1	7	109	5	8	13	85	働
5	1	2	1	1	8	121	5	6	13	92	く
5	1	2	1	1	9	133	5	7	13	44	力
5	1	2	1	1	10	143	5	11	13	96	を
5	1	2	1	1	11	158	4	31	14	50	定量
5	1	2	1	1	12	192	5	8	12	48	化
5	1	2	1	1	13	200	0	8	28	87	.
5	1	2	1	1	14	212	4	110	14	95	実験
5	1	2	1	1	15	251	0	8	28	93	か
5	1	2	1	1	16	259	0	12	28	93	ら
5	1	2	1	1	17	270	0	13	28	75	導
5	1	2	1	1	18	282	0	19	28	89	き
5	1	2	1	1	19	301	0	24	28	94	出し
4	1	2	1	2	0	4	24	299	32	-1	
5	1	2	1	2	1	4	32	43	13	95	真空
5	1	2	1	2	2	50	33	10	12	96	中
5	1	2	1	2	3	64	32	9	13	96	に
5	1	2	1	2	4	79	33	2	11	96	お
5	1	2	1	2	5	82	32	22	13	96	ける
5	1	2	1	2	6	106	34	8	10	96	2
5	1	2	1	2	7	117	33	26	12	96	つの
5	1	2	1	2	8	146	32	37	14	76	電荷
5	1	2	1	2	9	183	32	11	13	74	間
5	1	2	1	2	10	196	32	17	13	81	に
5	1	2	1	2	11	220	24	13	30	61	働く
5	1	2	1	2	12	232	32	10	13	82	カ
5	1	2	1	2	13	268	28	35	28	0	*
2	1	3	0	0	0	33	29	400	225	-1	
3	1	3	1	0	0	33	29	400	225	-1	
4	1	3	1	1	0	33	29	400	225	-1	
5	1	3	1	1	1	33	29	400	225	95	   
