level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	550	780	-1	
2	1	1	0	0	0	32	36	232	64	-1	
3	1	1	1	0	0	32	36	232	64	-1	
4	1	1	1	1	0	32	36	202	15	-1	
5	1	1	1	1	1	32	42	26	9	0	仁和
5	1	1	1	1	2	63	42	8	9	0	気
5	1	1	1	1	3	76	43	2	7	11	学
5	1	1	1	1	4	82	31	5	27	34	」
5	1	1	1	1	5	94	43	16	7	2	No.
5	1	1	1	1	6	126	43	5	7	12	g
5	1	1	1	1	7	144	43	16	8	0	了
5	1	1	1	1	8	170	43	17	8	0	呈
5	1	1	1	1	9	194	44	3	5	0	も
5	1	1	1	1	10	201	42	33	9	16	うる
4	1	1	1	2	0	45	59	219	17	-1	
5	1	1	1	2	1	45	61	27	10	80	1.2
5	1	1	1	2	2	88	60	22	12	96	クー
5	1	1	1	2	3	112	59	69	13	96	ロン
5	1	1	1	2	4	134	55	18	26	96	の
5	1	1	1	2	5	151	59	30	13	88	法則
5	1	1	1	2	6	193	61	71	15	45	p.19-
4	1	1	1	3	0	64	77	184	23	-1	
5	1	1	1	3	1	64	87	29	13	92	電子
5	1	1	1	3	2	97	86	16	13	93	1
5	1	1	1	3	3	120	86	8	13	1	個
5	1	1	1	3	4	127	72	30	37	96	あたり
5	1	1	1	3	5	160	88	11	11	93	の
5	1	1	1	3	6	175	86	13	13	88	電
5	1	1	1	3	7	190	86	13	13	0	寄
5	1	1	1	3	8	208	86	10	13	37	量
5	1	1	1	3	9	235	77	13	23	0	|
2	1	2	0	0	0	255	70	255	108	-1	
3	1	2	1	0	0	255	70	255	108	-1	
4	1	2	1	1	0	264	70	246	14	-1	
5	1	2	1	1	1	264	70	246	14	95	 
4	1	2	1	2	0	255	84	255	26	-1	
5	1	2	1	2	1	255	84	255	26	95	  
4	1	2	1	3	0	267	110	243	29	-1	
5	1	2	1	3	1	267	110	243	29	95	  
4	1	2	1	4	0	295	139	215	39	-1	
5	1	2	1	4	1	295	139	215	39	95	 
2	1	3	0	0	0	64	118	190	19	-1	
3	1	3	1	0	0	64	118	190	19	-1	
4	1	3	1	1	0	64	118	190	19	-1	
5	1	3	1	1	1	64	122	8	10	4	タ
5	1	3	1	1	2	79	120	8	14	84	個
5	1	3	1	1	3	95	121	7	12	85	の
5	1	3	1	1	4	106	121	11	12	91	同
5	1	3	1	1	5	123	120	34	14	87	符号
5	1	3	1	1	6	156	110	9	33	96	の
5	1	3	1	1	7	165	120	33	15	73	電荷
5	1	3	1	1	8	197	110	36	33	0	(9i9。
5	1	3	1	1	9	238	118	16	15	11	>0
2	1	4	0	0	0	256	122	3	13	-1	
3	1	4	1	0	0	256	122	3	13	-1	
4	1	4	1	1	0	256	122	3	13	-1	
5	1	4	1	1	1	256	122	3	13	95	 
2	1	5	0	0	0	378	133	1	23	-1	
3	1	5	1	0	0	378	133	1	23	-1	
4	1	5	1	1	0	378	133	1	23	-1	
5	1	5	1	1	1	378	133	1	23	95	 
2	1	6	0	0	0	64	155	227	19	-1	
3	1	6	1	0	0	64	155	227	19	-1	
4	1	6	1	1	0	64	155	227	19	-1	
5	1	6	1	1	1	64	158	8	10	85	2
5	1	6	1	1	2	78	156	9	14	92	個
5	1	6	1	1	3	93	158	9	11	93	の
5	1	6	1	1	4	107	156	11	14	88	異
5	1	6	1	1	5	125	156	32	14	95	符号
5	1	6	1	1	6	156	151	10	27	95	の
5	1	6	1	1	7	165	156	34	15	92	電荷
5	1	6	1	1	8	200	151	33	27	16	(⑰i9。
5	1	6	1	1	9	237	159	6	9	40	く
5	1	6	1	1	10	245	155	27	17	81	0):
5	1	6	1	1	11	278	156	13	15	0	引
2	1	7	0	0	0	185	260	166	106	-1	
3	1	7	1	0	0	185	260	165	52	-1	
4	1	7	1	1	0	201	260	149	14	-1	
5	1	7	1	1	1	201	260	32	14	48	CO
5	1	7	1	1	2	253	266	24	8	24	な
5	1	7	1	1	3	271	251	14	33	0	』
5	1	7	1	1	4	318	260	32	14	0	の
4	1	7	1	2	0	185	292	93	20	-1	
5	1	7	1	2	1	185	292	6	3	0	_
5	1	7	1	2	2	268	300	10	12	17	テ
3	1	7	2	0	0	200	323	151	43	-1	
4	1	7	2	1	0	200	323	151	20	-1	
5	1	7	2	1	1	200	325	29	18	48	we)
5	1	7	2	1	2	255	323	29	18	6	引
5	1	7	2	1	3	273	319	17	28	0	太
5	1	7	2	1	4	301	319	5	28	5	。
5	1	7	2	1	5	320	326	31	16	0	四
5	1	7	2	1	6	336	319	10	28	65	@
5	1	7	2	1	7	345	319	10	28	3	の
4	1	7	2	2	0	200	342	141	24	-1	
5	1	7	2	2	1	200	343	77	23	0	(テーーー
5	1	7	2	2	2	327	342	14	18	2	で
2	1	8	0	0	0	60	445	437	254	-1	
3	1	8	1	0	0	60	445	437	254	-1	
4	1	8	1	1	0	60	445	437	254	-1	
5	1	8	1	1	1	60	445	437	254	95	 
2	1	9	0	0	0	152	703	247	17	-1	
3	1	9	1	0	0	152	703	247	17	-1	
4	1	9	1	1	0	152	703	247	17	-1	
5	1	9	1	1	1	152	704	62	16	42	5.853
5	1	9	1	1	2	222	704	24	15	0	x70
5	1	9	1	1	3	253	703	26	17	0	(7
5	1	9	1	1	4	278	699	8	28	0	なみ
5	1	9	1	1	5	291	704	4	16	84	)
5	1	9	1	1	6	302	699	14	28	85	:
5	1	9	1	1	7	316	706	19	14	92	真
5	1	9	1	1	8	334	699	13	28	93	空
5	1	9	1	1	9	346	708	7	11	96	の
5	1	9	1	1	10	356	706	43	13	52	誘電
5	1	9	1	1	11	388	699	15	28	87	率
