level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	550	779	-1	
2	1	1	0	0	0	46	46	252	12	-1	
3	1	1	1	0	0	46	46	252	12	-1	
4	1	1	1	1	0	46	46	252	12	-1	
5	1	1	1	1	1	46	46	108	20	0	UmOWIB
5	1	1	1	1	2	106	35	9	35	73	の
5	1	1	1	1	3	114	46	28	20	14	9
5	1	1	1	1	4	164	47	2	6	0	4
5	1	1	1	1	5	267	51	31	7	27	Aware
2	1	2	0	0	0	90	53	245	50	-1	
3	1	2	1	0	0	72	53	263	50	-1	
4	1	2	1	1	0	90	53	245	50	-1	
5	1	2	1	1	1	90	61	3	1	67	で
5	1	2	1	1	2	93	59	28	40	8	9
5	1	2	1	1	3	155	57	30	42	33	その
5	1	2	1	1	4	184	53	14	50	34	と
5	1	2	1	1	5	230	53	47	50	25	あと
5	1	2	1	1	6	298	72	37	13	25	ーー
2	1	3	0	0	0	52	102	74	9	-1	
3	1	3	1	0	0	52	102	74	9	-1	
4	1	3	1	1	0	52	102	74	9	-1	
5	1	3	1	1	1	52	91	74	20	0	JARoaeg
2	1	4	0	0	0	57	101	404	176	-1	
3	1	4	1	0	0	57	101	404	176	-1	
4	1	4	1	1	0	127	101	179	36	-1	
5	1	4	1	1	1	127	101	179	36	95	    
4	1	4	1	2	0	62	137	300	62	-1	
5	1	4	1	2	1	62	137	300	62	95	   
4	1	4	1	3	0	57	199	404	78	-1	
5	1	4	1	3	1	57	199	404	78	95	  
5	1	4	1	3	2	360	199	2	24	95	 
2	1	5	0	0	0	60	119	102	3	-1	
3	1	5	1	0	0	60	119	102	3	-1	
4	1	5	1	1	0	60	119	102	3	-1	
5	1	5	1	1	1	60	119	102	3	95	 
2	1	6	0	0	0	55	121	72	25	-1	
3	1	6	1	0	0	55	121	72	25	-1	
4	1	6	1	1	0	55	121	72	15	-1	
5	1	6	1	1	1	55	134	6	1	22	すす
5	1	6	1	1	2	79	121	48	15	1	FE
4	1	6	1	2	0	64	137	49	9	-1	
5	1	6	1	2	1	64	137	49	9	37	tei
