level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3509	-1	
2	1	1	0	0	0	89	298	2242	44	-1	
3	1	1	1	0	0	89	298	2242	44	-1	
4	1	1	1	1	0	89	298	2242	44	-1	
5	1	1	1	1	1	89	298	2242	44	95	 
2	1	2	0	0	0	89	439	2242	43	-1	
3	1	2	1	0	0	89	439	2242	43	-1	
4	1	2	1	1	0	89	439	2242	43	-1	
5	1	2	1	1	1	89	439	2242	43	95	 
2	1	3	0	0	0	90	508	2241	43	-1	
3	1	3	1	0	0	90	508	2241	43	-1	
4	1	3	1	1	0	90	508	2241	43	-1	
5	1	3	1	1	1	90	508	2241	43	95	 
2	1	4	0	0	0	89	579	2242	42	-1	
3	1	4	1	0	0	89	579	2242	42	-1	
4	1	4	1	1	0	89	579	2242	42	-1	
5	1	4	1	1	1	89	579	2242	42	95	 
2	1	5	0	0	0	781	527	8	152	-1	
3	1	5	1	0	0	781	527	8	152	-1	
4	1	5	1	1	0	781	527	8	152	-1	
5	1	5	1	1	1	781	527	8	152	95	 
2	1	6	0	0	0	577	539	4	137	-1	
3	1	6	1	0	0	577	539	4	137	-1	
4	1	6	1	1	0	577	539	4	137	-1	
5	1	6	1	1	1	577	539	4	137	95	 
2	1	7	0	0	0	90	665	510	14	-1	
3	1	7	1	0	0	90	665	510	14	-1	
4	1	7	1	1	0	90	665	510	14	-1	
5	1	7	1	1	1	90	665	510	14	95	 
2	1	8	0	0	0	601	657	1731	30	-1	
3	1	8	1	0	0	601	657	1731	30	-1	
4	1	8	1	1	0	601	657	1731	30	-1	
5	1	8	1	1	1	601	657	1731	30	95	 
2	1	9	0	0	0	90	723	2242	43	-1	
3	1	9	1	0	0	90	723	2242	43	-1	
4	1	9	1	1	0	90	723	2242	43	-1	
5	1	9	1	1	1	90	723	2242	43	95	 
2	1	10	0	0	0	90	794	2241	43	-1	
3	1	10	1	0	0	90	794	2241	43	-1	
4	1	10	1	1	0	90	794	2241	43	-1	
5	1	10	1	1	1	90	794	2241	43	95	 
2	1	11	0	0	0	90	865	2242	42	-1	
3	1	11	1	0	0	90	865	2242	42	-1	
4	1	11	1	1	0	90	865	2242	42	-1	
5	1	11	1	1	1	90	865	2242	42	95	 
2	1	12	0	0	0	328	937	2004	30	-1	
3	1	12	1	0	0	328	937	2004	30	-1	
4	1	12	1	1	0	328	937	2004	30	-1	
5	1	12	1	1	1	328	937	2004	30	95	 
2	1	13	0	0	0	701	938	1631	34	-1	
3	1	13	1	0	0	701	938	1631	34	-1	
4	1	13	1	1	0	701	938	1631	34	-1	
5	1	13	1	1	1	701	938	1631	34	95	 
2	1	14	0	0	0	90	1007	2242	42	-1	
3	1	14	1	0	0	90	1007	2242	42	-1	
4	1	14	1	1	0	90	1007	2242	42	-1	
5	1	14	1	1	1	90	1007	2242	42	95	 
2	1	15	0	0	0	91	1078	2241	43	-1	
3	1	15	1	0	0	91	1078	2241	43	-1	
4	1	15	1	1	0	91	1078	2241	43	-1	
5	1	15	1	1	1	91	1078	2241	43	95	 
2	1	16	0	0	0	90	1149	2242	43	-1	
3	1	16	1	0	0	90	1149	2242	43	-1	
4	1	16	1	1	0	90	1149	2242	43	-1	
5	1	16	1	1	1	90	1149	2242	43	95	 
2	1	17	0	0	0	91	1220	2241	42	-1	
3	1	17	1	0	0	91	1220	2241	42	-1	
4	1	17	1	1	0	91	1220	2241	42	-1	
5	1	17	1	1	1	91	1220	2241	42	95	 
2	1	18	0	0	0	1815	1240	3	100	-1	
3	1	18	1	0	0	1815	1240	3	100	-1	
4	1	18	1	1	0	1815	1240	3	100	-1	
5	1	18	1	1	1	1815	1240	3	100	95	 
2	1	19	0	0	0	91	1289	2241	43	-1	
3	1	19	1	0	0	91	1289	2241	43	-1	
4	1	19	1	1	0	91	1289	2241	43	-1	
5	1	19	1	1	1	91	1289	2241	43	95	 
2	1	20	0	0	0	492	1240	8	149	-1	
3	1	20	1	0	0	492	1240	8	149	-1	
4	1	20	1	1	0	492	1240	8	149	-1	
5	1	20	1	1	1	492	1240	8	149	95	 
2	1	21	0	0	0	1213	1240	6	145	-1	
3	1	21	1	0	0	1213	1240	6	145	-1	
4	1	21	1	1	0	1213	1240	6	145	-1	
5	1	21	1	1	1	1213	1240	6	145	95	 
2	1	22	0	0	0	819	1249	9	135	-1	
3	1	22	1	0	0	819	1249	9	135	-1	
4	1	22	1	1	0	819	1249	9	135	-1	
5	1	22	1	1	1	819	1249	9	135	95	 
2	1	23	0	0	0	1062	1247	6	144	-1	
3	1	23	1	0	0	1062	1247	6	144	-1	
4	1	23	1	1	0	1062	1247	6	144	-1	
5	1	23	1	1	1	1062	1247	6	144	95	 
2	1	24	0	0	0	1905	1239	8	146	-1	
3	1	24	1	0	0	1905	1239	8	146	-1	
4	1	24	1	1	0	1905	1239	8	146	-1	
5	1	24	1	1	1	1905	1239	8	146	95	 
2	1	25	0	0	0	1138	1268	4	116	-1	
3	1	25	1	0	0	1138	1268	4	116	-1	
4	1	25	1	1	0	1138	1268	4	116	-1	
5	1	25	1	1	1	1138	1268	4	116	95	 
2	1	26	0	0	0	91	1361	2242	43	-1	
3	1	26	1	0	0	91	1361	2242	43	-1	
4	1	26	1	1	0	91	1361	2242	43	-1	
5	1	26	1	1	1	91	1361	2242	43	95	 
2	1	27	0	0	0	331	1258	8	159	-1	
3	1	27	1	0	0	331	1258	8	159	-1	
4	1	27	1	1	0	331	1258	8	159	-1	
5	1	27	1	1	1	331	1258	8	159	95	 
2	1	28	0	0	0	91	1433	2242	44	-1	
3	1	28	1	0	0	91	1433	2242	44	-1	
4	1	28	1	1	0	91	1433	2242	44	-1	
5	1	28	1	1	1	91	1433	2242	44	95	 
2	1	29	0	0	0	91	1505	2242	42	-1	
3	1	29	1	0	0	91	1505	2242	42	-1	
4	1	29	1	1	0	91	1505	2242	42	-1	
5	1	29	1	1	1	91	1505	2242	42	95	 
2	1	30	0	0	0	646	1465	7	133	-1	
3	1	30	1	0	0	646	1465	7	133	-1	
4	1	30	1	1	0	646	1465	7	133	-1	
5	1	30	1	1	1	646	1465	7	133	95	 
2	1	31	0	0	0	91	1574	2241	43	-1	
3	1	31	1	0	0	91	1574	2241	43	-1	
4	1	31	1	1	0	91	1574	2241	43	-1	
5	1	31	1	1	1	91	1574	2241	43	95	 
2	1	32	0	0	0	1147	1542	4	126	-1	
3	1	32	1	0	0	1147	1542	4	126	-1	
4	1	32	1	1	0	1147	1542	4	126	-1	
5	1	32	1	1	1	1147	1542	4	126	95	 
2	1	33	0	0	0	401	1648	1932	34	-1	
3	1	33	1	0	0	401	1648	1932	34	-1	
4	1	33	1	1	0	401	1648	1932	34	-1	
5	1	33	1	1	1	401	1648	1932	34	95	 
2	1	34	0	0	0	652	1585	4	109	-1	
3	1	34	1	0	0	652	1585	4	109	-1	
4	1	34	1	1	0	652	1585	4	109	-1	
5	1	34	1	1	1	652	1585	4	109	95	 
2	1	35	0	0	0	91	1716	2242	43	-1	
3	1	35	1	0	0	91	1716	2242	43	-1	
4	1	35	1	1	0	91	1716	2242	43	-1	
5	1	35	1	1	1	91	1716	2242	43	95	 
2	1	36	0	0	0	647	1704	5	109	-1	
3	1	36	1	0	0	647	1704	5	109	-1	
4	1	36	1	1	0	647	1704	5	109	-1	
5	1	36	1	1	1	647	1704	5	109	95	 
2	1	37	0	0	0	91	1788	2242	42	-1	
3	1	37	1	0	0	91	1788	2242	42	-1	
4	1	37	1	1	0	91	1788	2242	42	-1	
5	1	37	1	1	1	91	1788	2242	42	95	 
2	1	38	0	0	0	91	1860	2242	42	-1	
3	1	38	1	0	0	91	1860	2242	42	-1	
4	1	38	1	1	0	91	1860	2242	42	-1	
5	1	38	1	1	1	91	1860	2242	42	95	 
2	1	39	0	0	0	91	1930	2242	42	-1	
3	1	39	1	0	0	91	1930	2242	42	-1	
4	1	39	1	1	0	91	1930	2242	42	-1	
5	1	39	1	1	1	91	1930	2242	42	95	 
2	1	40	0	0	0	99	278	2198	1747	-1	
3	1	40	1	0	0	99	278	2198	1747	-1	
4	1	40	1	1	0	99	278	1924	21	-1	
5	1	40	1	1	1	99	278	52	20	92	Date
5	1	40	1	1	2	1987	279	36	20	81	No.
4	1	40	1	2	0	179	464	2061	66	-1	
5	1	40	1	2	1	179	464	813	66	24	FPS
5	1	40	1	2	2	1249	464	10	9	0	ミ
5	1	40	1	2	3	1785	464	455	10	12	ーー
4	1	40	1	3	0	605	485	459	76	-1	
5	1	40	1	3	1	605	485	155	76	7	es
5	1	40	1	3	2	924	535	140	11	0	ーー
4	1	40	1	4	0	305	554	1093	86	-1	
5	1	40	1	4	1	305	554	1093	86	0	ーー
4	1	40	1	5	0	593	636	160	36	-1	
5	1	40	1	5	1	593	636	32	36	0	計
5	1	40	1	5	2	661	642	14	23	47	0
5	1	40	1	5	3	682	632	20	45	47	ま
4	1	40	1	6	0	299	674	1098	83	-1	
5	1	40	1	6	1	299	693	231	51	9	AX
5	1	40	1	6	2	594	703	14	15	0	ニ
5	1	40	1	6	3	631	679	28	78	6	/
5	1	40	1	6	4	686	681	46	71	0	寺
5	1	40	1	6	5	759	705	15	24	53	っ
5	1	40	1	6	6	808	683	42	61	0	寺
5	1	40	1	6	7	893	706	17	22	35	ュ
5	1	40	1	6	8	936	675	72	69	0	計
5	1	40	1	6	9	1050	674	347	70	0	直
5	1	40	1	6	10	1184	670	77	92	0	撤
5	1	40	1	6	11	1261	674	136	70	0	*Ptc
4	1	40	1	7	0	284	770	450	55	-1	
5	1	40	1	7	1	284	770	32	39	84	と
5	1	40	1	7	2	333	774	13	38	92	り
5	1	40	1	7	3	370	800	6	12	92	、
4	1	40	1	8	0	356	832	723	62	-1	
5	1	40	1	8	1	356	851	126	43	14	に
5	1	40	1	8	2	617	832	462	53	13	人
4	1	40	1	9	0	359	887	721	65	-1	
5	1	40	1	9	1	359	887	825	76	8	人
4	1	40	1	10	0	200	1035	2097	64	-1	
5	1	40	1	10	1	200	1044	30	46	66	1、
5	1	40	1	10	2	248	1040	26	47	0	介
5	1	40	1	10	3	313	1044	49	52	0	下
5	1	40	1	10	4	365	1046	24	45	0	劉
5	1	40	1	10	5	410	1038	53	51	0	導
5	1	40	1	10	6	462	1040	46	46	0	桂
5	1	40	1	10	7	518	1038	16	50	68	、
5	1	40	1	10	8	547	1072	8	9	57	人
5	1	40	1	10	9	574	1041	109	56	18	の
5	1	40	1	10	10	722	1058	21	24	72	で
5	1	40	1	10	11	763	1047	89	37	49	クロ
5	1	40	1	10	12	846	1031	33	78	96	し
5	1	40	1	10	13	884	1048	118	46	32	6
5	1	40	1	10	14	995	1031	72	78	13	2.
5	1	40	1	10	15	1083	1061	45	33	11	=
5	1	40	1	10	16	1168	1054	46	39	70	て
5	1	40	1	10	17	1197	1031	59	78	88	、
5	1	40	1	10	18	1255	1040	72	55	76	円
5	1	40	1	10	19	1328	1035	64	54	39	桂
5	1	40	1	10	20	1392	1042	50	51	0	産
5	1	40	1	10	21	1449	1039	81	51	7	信人
5	1	40	1	10	22	1548	1053	29	30	52	の
5	1	40	1	10	23	1613	1037	72	62	34	まま
5	1	40	1	10	24	1717	1053	123	43	0	ぐん
5	1	40	1	10	25	1853	1059	11	23	68	ル
5	1	40	1	10	26	1888	1049	147	50	0	(。、7。
5	1	40	1	10	27	2113	1056	57	37	0	の
5	1	40	1	10	28	2203	1037	36	49	38	朋
5	1	40	1	10	29	2250	1035	47	52	0	据
4	1	40	1	11	0	305	1052	1980	177	-1	
5	1	40	1	11	1	305	1113	122	116	6	本
5	1	40	1	11	2	457	1123	43	39	57	か
5	1	40	1	11	3	515	1121	33	34	93	と
5	1	40	1	11	4	566	1118	49	77	65	ひ
5	1	40	1	11	5	619	1104	99	57	6	四角
5	1	40	1	11	6	734	1105	111	64	0	宛
5	1	40	1	11	7	803	1096	46	78	0	要
5	1	40	1	11	8	894	1119	15	49	1	生
5	1	40	1	11	9	920	1127	35	41	91	の
5	1	40	1	11	10	989	1052	132	116	21	ui
5	1	40	1	11	11	1136	1117	19	39	70	2
5	1	40	1	11	12	1185	1116	44	40	61	けし
5	1	40	1	11	13	1269	1112	177	58	11	1,69.
5	1	40	1	11	14	1480	1125	64	42	21	pv
5	1	40	1	11	15	1582	1128	29	31	82	の
5	1	40	1	11	16	1641	1111	100	56	0	受
5	1	40	1	11	17	1762	1117	31	53	57	裕
5	1	40	1	11	18	1802	1109	131	59	0	関
5	1	40	1	11	19	1858	1097	15	80	73	人
5	1	40	1	11	20	1872	1097	47	80	16	4(
5	1	40	1	11	21	1918	1097	21	80	0	ょ
5	1	40	1	11	22	1964	1101	77	61	8	、
5	1	40	1	11	23	2045	1116	112	47	0	多
5	1	40	1	11	24	2172	1121	75	42	0	用い
5	1	40	1	11	25	2265	1124	20	38	54	7
4	1	40	1	12	0	340	1154	910	94	-1	
5	1	40	1	12	1	340	1177	73	54	14	トモ
5	1	40	1	12	2	420	1154	61	74	66	ト
5	1	40	1	12	3	480	1186	39	62	16	沙
5	1	40	1	12	4	536	1188	29	43	56	お
5	1	40	1	12	5	566	1185	170	48	59	の
5	1	40	1	12	6	645	1178	36	59	18	PF
5	1	40	1	12	7	699	1178	59	59	38	うと
5	1	40	1	12	8	778	1182	38	48	89	と
5	1	40	1	12	9	835	1195	23	27	11	上
5	1	40	1	12	10	857	1178	30	59	0	き
5	1	40	1	12	11	886	1184	55	41	0	介
5	1	40	1	12	12	967	1200	51	23	20	9:
5	1	40	1	12	13	1024	1196	12	29	87	て
5	1	40	1	12	14	1073	1192	14	35	19	か
5	1	40	1	12	15	1093	1178	63	59	12	うと
5	1	40	1	12	16	1187	1192	63	35	0	で
4	1	40	1	13	0	336	1242	1573	196	-1	
5	1	40	1	13	1	312	1196	279	128	0	Te
5	1	40	1	13	2	563	1247	146	191	33	Es
5	1	40	1	13	3	764	1246	424	87	0	陽
5	1	40	1	13	4	1217	1242	804	87	0	ES
4	1	40	1	14	0	535	1312	1372	69	-1	
5	1	40	1	14	1	535	1355	11	13	85	2
5	1	40	1	14	2	667	1354	13	16	96	9
5	1	40	1	14	3	845	1348	26	28	0	ョ
5	1	40	1	14	4	886	1312	12	63	27	」
5	1	40	1	14	5	1083	1352	46	29	0	記
5	1	40	1	14	6	1266	1340	79	41	14	css
5	1	40	1	14	7	1454	1354	68	19	0	-5iw
5	1	40	1	14	8	1542	1344	16	34	38	6
5	1	40	1	14	9	1714	1352	12	21	95	9
5	1	40	1	14	10	1840	1347	36	32	74	Ce
5	1	40	1	14	11	1900	1374	7	5	81	」
4	1	40	1	15	0	319	1386	984	110	-1	
5	1	40	1	15	1	319	1391	75	58	0	 )
5	1	40	1	15	2	429	1397	37	99	64	4
5	1	40	1	15	3	489	1401	41	51	24	や
5	1	40	1	15	4	632	1392	56	49	89	か
5	1	40	1	15	5	710	1403	16	43	4	5
5	1	40	1	15	6	754	1425	4	5	37	、
5	1	40	1	15	7	778	1394	30	53	53	す
5	1	40	1	15	8	808	1382	24	72	83	。
5	1	40	1	15	9	840	1403	15	40	43	ル
5	1	40	1	15	10	862	1382	32	72	52	XX
