level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	728	790	-1	
2	1	1	0	0	0	31	31	665	76	-1	
3	1	1	1	0	0	31	31	665	76	-1	
4	1	1	1	1	0	31	31	665	30	-1	
5	1	1	1	1	1	31	34	104	25	85	kmnist
5	1	1	1	1	2	136	31	31	30	93	を
5	1	1	1	1	3	169	31	61	29	96	使
5	1	1	1	1	4	0	0	728	790	85	っ
5	1	1	1	1	5	236	35	29	25	96	て
5	1	1	1	1	6	269	33	151	28	92	Tesseract
5	1	1	1	1	7	422	35	19	25	93	に
5	1	1	1	1	8	446	35	83	24	93	LSTM
5	1	1	1	1	9	532	34	32	26	93	の
5	1	1	1	1	10	565	33	31	27	95	再
5	1	1	1	1	11	599	31	63	29	96	学
5	1	1	1	1	12	0	0	728	790	96	習
5	1	1	1	1	13	666	32	30	29	96	す
4	1	1	1	2	0	31	79	28	28	-1	
5	1	1	1	2	1	31	79	28	28	97	る
2	1	2	0	0	0	36	134	191	9	-1	
3	1	2	1	0	0	36	134	191	9	-1	
4	1	2	1	1	0	36	134	191	9	-1	
5	1	2	1	1	1	122	134	51	9	41	can_
5	1	2	1	1	2	194	134	33	9	78	kma
2	1	3	0	0	0	29	214	665	95	-1	
3	1	3	1	0	0	29	214	665	95	-1	
4	1	3	1	1	0	29	214	47	21	-1	
5	1	3	1	1	1	29	214	47	21	94	背
5	1	3	1	1	2	0	0	728	790	82	景
4	1	3	1	2	0	29	271	665	13	-1	
5	1	3	1	2	1	29	273	13	11	48	る
5	1	3	1	2	2	43	274	12	10	92	の
5	1	3	1	2	3	56	272	12	12	0	き
5	1	3	1	2	4	69	273	26	11	9	医
5	1	3	1	2	5	96	272	12	12	0	辻
5	1	3	1	2	6	0	0	728	790	48	み
5	1	3	1	2	7	109	274	12	10	81	で
5	1	3	1	2	8	122	274	48	9	17	lesead
5	1	3	1	2	9	171	272	17	12	93	を
5	1	3	1	2	10	188	272	13	12	68	ぽ
5	1	3	1	2	11	203	276	10	7	79	っ
5	1	3	1	2	12	216	273	25	11	96	て
5	1	3	1	2	13	242	272	13	12	16	子
5	1	3	1	2	14	0	0	728	790	85	き
5	1	3	1	2	15	256	272	12	12	76	き
5	1	3	1	2	16	269	272	12	12	61	ス
5	1	3	1	2	17	0	0	728	790	71	チ
5	1	3	1	2	18	282	272	26	12	91	の
5	1	3	1	2	19	309	273	26	11	0	Iim
5	1	3	1	2	20	336	272	11	12	79	を
5	1	3	1	2	21	350	272	11	12	95	さ
5	1	3	1	2	22	362	273	13	11	96	せ
5	1	3	1	2	23	376	272	11	12	85	よ
5	1	3	1	2	24	390	273	10	11	91	う
5	1	3	1	2	25	404	272	10	12	96	と
5	1	3	1	2	26	417	273	10	11	96	し
5	1	3	1	2	27	429	274	12	10	96	て
5	1	3	1	2	28	443	272	11	12	96	ま
5	1	3	1	2	29	456	272	12	12	94	す
5	1	3	1	2	30	469	280	4	4	56	。
5	1	3	1	2	31	482	274	53	9	0	Tesend
5	1	3	1	2	32	0	0	728	790	92	の
5	1	3	1	2	33	535	271	93	13	0	\WlmR
5	1	3	1	2	34	628	272	13	12	80	な
5	1	3	1	2	35	644	272	9	12	96	り
5	1	3	1	2	36	656	273	11	11	95	に
5	1	3	1	2	37	668	273	13	11	79	ヵ
5	1	3	1	2	38	682	272	12	12	94	か
4	1	3	1	3	0	30	297	257	12	-1	
5	1	3	1	3	1	30	301	10	7	78	う
5	1	3	1	3	2	43	297	12	12	96	た
5	1	3	1	3	3	56	299	12	10	96	の
5	1	3	1	3	4	69	299	12	10	96	で
5	1	3	1	3	5	83	298	11	11	95	メ
5	1	3	1	3	6	96	299	12	10	96	モ
